NPF8.2_Q9LFB8	0
NPF8.1_Q9M390	0
NPF2.10_Q944G5	1
NPF7.3_Q9LQL2	0
NPF2.12_Q9LFX9	1
NPF7.2_Q8GXN2	0
NPF2.13_Q8RX77	1
NPF2.7_Q9M1E2	1
NPF8.3_P46032	0
NPF6.3_Q05085	0
NPF5.12_Q9C7U1	0
NPF3.1_Q9SX20	1
NPF5.11_Q8RX67	0
NPF1.2_Q9M817	1
NPF6.2_Q9SZY4	0
NPF1.1_Q8LPL2	1
NPF2.3_Q9M175	1
NPF5.10_Q0WP01	0
NPF5.16_Q9SK96	0
NPF8.4_Q84WG0	0
NPF8.5_Q93Z20	0
NPF5.13_Q0WSZ6	0
NPF5.14_Q8VZE2	0
NPF6.4_Q9LVE0	0
NPF4.1_Q9LSF0	1
NPF2.5_Q9M172	1
NPF2.4_Q9M173	1
NPF5.8_Q9LFR1	0
NPF5.9_Q9SRI2	0
NPF7.1_Q3E9B5	0
NPF6.1_Q9LYR6	0
NPF5.15_Q9SK99	0
NPF4.2_Q9LSE8	1
